area_name,area_code,date,new_cases,total_cases
Bexley,E09000004,2021-05-09,1,22441
Brent,E09000005,2021-05-09,12,28754
Bromley,E09000006,2021-05-09,6,24439
Camden,E09000007,2021-05-09,7,14201
Croydon,E09000008,2021-05-09,13,31023
Ealing,E09000009,2021-05-09,21,31379
Enfield,E09000010,2021-05-09,8,29851
Greenwich,E09000011,2021-05-09,8,22487
Hackney and City of London,E09000012,2021-05-09,7,21757
Hammersmith and Fulham,E09000013,2021-05-09,3,13083
Haringey,E09000014,2021-05-09,7,20881
Harrow,E09000015,2021-05-09,8,20968
Havering,E09000016,2021-05-09,3,26937
Hillingdon,E09000017,2021-05-09,22,26767
Hounslow,E09000018,2021-05-09,26,25102
Islington,E09000019,2021-05-09,4,15073
Kensington and Chelsea,E09000020,2021-05-09,8,9110
Kingston upon Thames,E09000021,2021-05-09,10,12317
Lambeth,E09000022,2021-05-09,6,24327
Lewisham,E09000023,2021-05-09,3,21741
Merton,E09000024,2021-05-09,3,16313
Newham,E09000025,2021-05-09,8,35677
Redbridge,E09000026,2021-05-09,6,33022
Richmond upon Thames,E09000027,2021-05-09,6,10929
Southwark,E09000028,2021-05-09,8,22529
Sutton,E09000029,2021-05-09,2,15980
Tower Hamlets,E09000030,2021-05-09,9,29010
Waltham Forest,E09000031,2021-05-09,0,24992
Wandsworth,E09000032,2021-05-09,4,22313
Westminster,E09000033,2021-05-09,7,14353
Barking and Dagenham,E09000002,2021-05-10,6,23677
Barnet,E09000003,2021-05-10,16,30602
Bexley,E09000004,2021-05-10,5,22446
Brent,E09000005,2021-05-10,19,28773
Bromley,E09000006,2021-05-10,9,24448
Camden,E09000007,2021-05-10,4,14205
Croydon,E09000008,2021-05-10,22,31045
Ealing,E09000009,2021-05-10,23,31402
Enfield,E09000010,2021-05-10,9,29860
Greenwich,E09000011,2021-05-10,16,22503
Hackney and City of London,E09000012,2021-05-10,5,21762
Hammersmith and Fulham,E09000013,2021-05-10,8,13091
Haringey,E09000014,2021-05-10,11,20892
Harrow,E09000015,2021-05-10,10,20978
